County,Date,Field_ID,Sex,Size_cm,Waterway,City,Probable_Cause
Citrus,2024-05-12,MNW24071,F,214,Homosassa River,Homosassa,Human Related: Watercraft Collision
Miami-Dade,2024-05-12,MSE24035,F,282,Biscayne Bay,Pinecrest,Human Related: Other
Miami-Dade,2024-05-12,MSE24036,M,240,Little River,Miami,Human Related: Flood Gate/Canal Lock
Volusia,2024-05-13,MNE24024,M,131,Strickland Creek,Ormond Beach,Perinatal (<= 150 cm)
Monroe,2024-05-13,MSE24037,M,308,Cotten Key Basin,Islamorada,Human Related: Watercraft Collision
Citrus,2024-05-14,MNW24072,F,130,Homosassa River,Homosassa,Perinatal (<= 150 cm)
Miami-Dade,2024-05-15,MSE24038,U,120,South Fork Miami River,Miami,Perinatal (<= 150 cm)
Brevard,2024-05-16,MEC24065,F,105,Indian River,Merritt Island,Perinatal (<= 150 cm)
Pinellas,2024-05-16,MNW24073,M,304,Frenchmans Creek,St. Petersburg,Natural: Other
Pinellas,2024-05-16,MNW24074,F,331,MaKay Creek,Largo,Human Related: Other
Monroe,2024-05-16,MSE24039,F,338,Vaca Key Bight,Marathon,Verified; Not Necropsied
Glades,2024-05-16,MSW24066,M,305,Calooshatchee River,Moore Haven,Verified; Not Necropsied
Lake,2024-05-17,MEC24066,M,306,Haines Creek,Leesburg,Human Related: Flood Gate/Canal Lock
Volusia,2024-05-17,MNE24025,M,315,Halifax River,Daytona Beach,Undetermined: Too Decomposed
Manatee,2024-05-17,MNW24075,M,320,Sarastoa Bay,Bradenton,Verified; Not Necropsied
St. Johns,2024-05-18,MNE24027,M,335,St. Johns River,St. Augustine,Human Related: Watercraft Collision
Pinellas,2024-05-18,MNW24076,M,255,Tampa Bay,St. Petersburg,Verified; Not Necropsied
Pinellas,2024-05-18,MNW24077,F,185,St. Joseph Sound,Dunedin,Verified; Not Necropsied
Collier,2024-05-18,MSW24067,M,248,Vanderbilt Channel,Naples,Verified; Not Necropsied
Volusia,2024-05-19,MNE24028,M,136,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Pinellas,2024-05-20,MNW24078,M,335,Long Bayou,Seminole,Undetermined: Too Decomposed
Brevard,2024-05-21,MEC24067,M,246,Indian River,Melbourne Beach,Natural: Other
Flagler,2024-05-21,MNE24029,M,293,Matanzas River,Palm Coast,Human Related: Watercraft Collision
Volusia,2024-05-21,MNE24030,M,120,Rose Bay,Port Orange,Perinatal (<= 150 cm)
Volusia,2024-05-21,MNE24032,U,250,Lake Dexter,Pierson,Verified; Not Necropsied
Flagler,2024-05-22,MNE24031,F,124,Matanzas River,Flagler Beach,Perinatal (<= 150 cm)
Hillsborough,2024-05-22,MNW24079,F,264,Alafia River,Riverview,Human Related: Watercraft Collision
Palm Beach,2024-05-22,MSE24040,F,248,Lake Worth Lagoon,West Palm Beach,Undetermined: Too Decomposed
Miami-Dade,2024-05-22,MSE24041,U,125,Biscayne Bay,Miami Beach,Perinatal (<= 150 cm)
Brevard,2024-05-23,MEC24068,F,330,Banana River,Merritt Island,Undetermined: Too Decomposed
Brevard,2024-05-23,MEC24069,M,115,Sykes Creek,Merritt Island,Perinatal (<= 150 cm)
Volusia,2024-05-24,MNE24033,M,143,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Monroe,2024-05-24,MSE24042,M,120,Long Key Bight,Marathon,Perinatal (<= 150 cm)
Collier,2024-05-24,MSW24068,F,243,Roberts Bay,Marco Island,Verified; Not Necropsied
Volusia,2024-05-25,MEC24070,F,250,Indian River North,Oak Hill,Human Related: Watercraft Collision
